schema_name,table_name,relkind,is_partition,parent_table,live_columns,dropped_columns,max_ordinal,total_bytes,total_size
public,ticket_assignment_rules,table,false,null,8,0,8,32768,32 kB
public,ticket_cost_estimates,table,false,null,21,0,21,73728,72 kB
public,ticket_cost_estimates_dedupe_backup_20260715,table,false,null,21,0,21,16384,16 kB
public,ticket_logs,table,false,null,9,7,16,3260416,3184 kB
public,ticket_number_counters,table,false,null,6,0,6,57344,56 kB
public,ticket_purchases,table,false,null,15,4,19,32768,32 kB
public,ticket_resolutions,table,false,null,24,0,24,319488,312 kB
public,tickets,table,false,null,18,0,18,49152,48 kB
public,upi_tenant_mappings,table,false,null,11,0,11,40960,40 kB
public,user_roles,table,false,null,3,0,3,73728,72 kB
public,users,table,false,null,16,0,16,40960,40 kB
public,vendor_remarks,table,false,null,9,0,9,49152,48 kB
public,vendors,table,false,null,17,0,17,73728,72 kB
public,whatsapp_conversations,table,false,null,13,0,13,40960,40 kB
public,whatsapp_dedup,table,false,null,5,0,5,73728,72 kB
public,whatsapp_events,table,false,null,23,0,23,3227648,3152 kB
public,whatsapp_failures,table,false,null,9,0,9,32768,32 kB
public,whatsapp_payment_submissions,table,false,null,31,0,31,516096,504 kB
public,whatsapp_send_deliveries,table,false,null,14,0,14,2523136,2464 kB
public,whatsapp_send_jobs,table,false,null,15,0,15,688128,672 kB
