"Section","Item","Value","Trust","Note"
"Measures","Current rent per bed — A23 bed B2","₹15,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — A23 bed C1","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — A23 bed C2","₹13,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — A24 bed B1","₹13,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — A24 bed B2","₹13,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — A24 bed B3","₹13,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — A24 bed C1","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — A33 bed B1","₹13,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — A34 bed B1","₹25,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — A41 bed B1","₹13,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — A41 bed B2","₹13,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — A41 bed B3","₹13,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — A41 bed C1","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — A41 bed C2","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — A41 bed D1","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
