organization_id,account_id,code,name,account_type,normal_balance,parent_id,total_debit_rollup,total_credit_rollup,balance_rollup
00000000-0000-0000-0000-000000000001,ff4ffd1d-0514-4c88-b9de-33a00fd3991e,5400,Utilities,EXPENSE,DEBIT,419ad0eb-734c-4119-8077-daa0718301f1,0,0,0
00000000-0000-0000-0000-000000000001,0ddeb20d-402d-4e2a-9172-80b54abc6aea,5410,Utilities - Electricity (common),EXPENSE,DEBIT,ff4ffd1d-0514-4c88-b9de-33a00fd3991e,0,0,0
00000000-0000-0000-0000-000000000001,ee858030-6c55-4801-9e1c-7ad421943a4c,5420,Utilities - Water,EXPENSE,DEBIT,ff4ffd1d-0514-4c88-b9de-33a00fd3991e,0,0,0
00000000-0000-0000-0000-000000000001,c79b9ebe-079d-4b2b-814a-1a3f81a5e0bb,5430,Utilities - Internet/Cable,EXPENSE,DEBIT,ff4ffd1d-0514-4c88-b9de-33a00fd3991e,0,0,0
00000000-0000-0000-0000-000000000001,e44b50b1-e838-4bcf-a7a0-5d72d6ee4d62,5440,Utilities - Gas,EXPENSE,DEBIT,ff4ffd1d-0514-4c88-b9de-33a00fd3991e,0,0,0
00000000-0000-0000-0000-000000000001,207d5b3c-110e-4dc5-b375-6c9b04fb6b97,5500,Property Operations,EXPENSE,DEBIT,419ad0eb-734c-4119-8077-daa0718301f1,0,0,0
00000000-0000-0000-0000-000000000001,fac50f53-b93a-4509-ab45-8cc20fb7e4e2,5510,Property Tax,EXPENSE,DEBIT,207d5b3c-110e-4dc5-b375-6c9b04fb6b97,0,0,0
00000000-0000-0000-0000-000000000001,a9434a2f-f2c3-4e10-b34a-2d102df9a5f9,5520,Water Tax,EXPENSE,DEBIT,207d5b3c-110e-4dc5-b375-6c9b04fb6b97,0,0,0
00000000-0000-0000-0000-000000000001,331b158d-0274-4fb2-a91a-e90002141c99,5530,Insurance,EXPENSE,DEBIT,207d5b3c-110e-4dc5-b375-6c9b04fb6b97,0,0,0
00000000-0000-0000-0000-000000000001,223ab370-06ff-4a99-8fbf-ced1c3796e47,5540,Society/Maintenance Fees,EXPENSE,DEBIT,207d5b3c-110e-4dc5-b375-6c9b04fb6b97,0,0,0
00000000-0000-0000-0000-000000000001,55fb24d1-4ed4-496e-9af5-294af382087f,5600,Administrative,EXPENSE,DEBIT,419ad0eb-734c-4119-8077-daa0718301f1,3192.52,9261.56,-6069.04
00000000-0000-0000-0000-000000000001,527e4c33-03c6-4eec-835a-046d97a48d70,5610,Office Expenses,EXPENSE,DEBIT,55fb24d1-4ed4-496e-9af5-294af382087f,0,0,0
00000000-0000-0000-0000-000000000001,9530eb9d-f2ca-4f5e-beb4-62613ad009d7,5620,Software & Subscriptions,EXPENSE,DEBIT,55fb24d1-4ed4-496e-9af5-294af382087f,0,0,0
00000000-0000-0000-0000-000000000001,bba6a5a1-e2ba-4502-9afe-6d90823353b2,5630,Bank Charges & CC Fees,EXPENSE,DEBIT,55fb24d1-4ed4-496e-9af5-294af382087f,3192.52,9261.56,-6069.04
00000000-0000-0000-0000-000000000001,57b5dbf0-2812-409c-b4b3-df143c14f3e4,5640,Professional Fees,EXPENSE,DEBIT,55fb24d1-4ed4-496e-9af5-294af382087f,0,0,0
00000000-0000-0000-0000-000000000001,ba3437df-3f44-480d-b057-6adff112be90,5700,Salaries & Benefits,EXPENSE,DEBIT,419ad0eb-734c-4119-8077-daa0718301f1,0,0,0
00000000-0000-0000-0000-000000000001,fb070924-8c1e-4f55-80dc-26e3e737ea77,5800,Marketing & Tenant Acquisition,EXPENSE,DEBIT,419ad0eb-734c-4119-8077-daa0718301f1,24660.00,29.00,24631.00
00000000-0000-0000-0000-000000000001,ff9c40ab-3671-4f51-a252-ea001ed6f208,5900,Other Expenses,EXPENSE,DEBIT,419ad0eb-734c-4119-8077-daa0718301f1,39366.00,0.00,39366.00
