counted_at,table_schema,table_name,relkind,exact_rows
2026-08-29 09:02:53.218115+00,market,competitor_pricing_snapshots_2026_06,table,0
2026-08-29 09:02:53.218115+00,market,competitor_pricing_snapshots_2026_07,table,0
2026-08-29 09:02:53.218115+00,market,competitor_pricing_snapshots_2026_08,table,0
2026-08-29 09:02:53.218115+00,market,competitor_reviews,table,0
2026-08-29 09:02:53.218115+00,public,departments,table,0
2026-08-29 09:02:53.218115+00,public,electricity_shares,table,0
2026-08-29 09:02:53.218115+00,public,employees,table,0
2026-08-29 09:02:53.218115+00,public,leave_requests_sync,table,0
2026-08-29 09:02:53.218115+00,public,ledger_entries,table,0
2026-08-29 09:02:53.218115+00,public,lifecycle_config,table,0
2026-08-29 09:02:53.218115+00,market,locality_market_metrics,table,0
2026-08-29 09:02:53.218115+00,public,migration_log,table,0
2026-08-29 09:02:53.218115+00,public,org_ai_settings,table,0
2026-08-29 09:02:53.218115+00,public,payroll,table,0
2026-08-29 09:02:53.218115+00,market,property_embeddings,table,0
2026-08-29 09:02:53.218115+00,public,purchase_items,table,0
2026-08-29 09:02:53.218115+00,public,purchase_orders,table,0
2026-08-29 09:02:53.218115+00,public,receipt_allocations,table,0
2026-08-29 09:02:53.218115+00,public,regular_maintenance_rules,table,0
2026-08-29 09:02:53.218115+00,public,replacement_forecasts,table,0
2026-08-29 09:02:53.218115+00,market,review_embeddings,table,0
2026-08-29 09:02:53.218115+00,public,tickets,table,0
2026-08-29 09:02:53.218115+00,public,upi_tenant_mappings,table,0
2026-08-29 09:02:53.218115+00,public,users,table,0
2026-08-29 09:02:53.218115+00,public,vendor_remarks,table,0
2026-08-29 09:02:53.218115+00,public,whatsapp_conversations,table,0
2026-08-29 09:02:53.218115+00,public,whatsapp_dedup,table,0
2026-08-29 09:02:53.218115+00,public,whatsapp_failures,table,0
