invoice_id,invoice_number,invoice_date,billing_month,invoice_type,status,is_deleted,source_amount,ledger_amount,difference,entry_count,reversal_count
806afb36-979f-4379-ba15-609548ef7251,VISTA/26-27/05/00045,2026-05-01,2026-05,exit_charge,paid,false,0.00,2250.00,2250.00,2,1
bbc6b466-53c5-4f11-ab11-ed7f16729bfe,VISTA/26-27/05/00081,2026-05-01,2026-05,exit_charge,pending,false,2250.00,4500.00,2250.00,3,1
bebb7b81-62bc-441a-81a0-b7e820002efa,VISTA/26-27/05/00078,2026-05-01,2026-05,exit_charge,pending,false,2250.00,4500.00,2250.00,3,1
e4d7fe1e-bd33-4982-bba5-4a524eab9c47,VISTA/26-27/05/00018,2026-05-01,2026-05,exit_charge,pending,false,2250.00,4500.00,2250.00,3,1
e7fdca6d-c0a0-4cca-ab14-103ca3df9819,VISTA/26-27/05/00014,2026-05-01,2026-05,exit_charge,pending,false,2250.00,4500.00,2250.00,3,1
fde4cf07-fdf2-4457-b2b1-582e34ba1176,VISTA/26-27/05/00109,2026-05-01,2026-05,exit_charge,pending,false,2250.00,4500.00,2250.00,3,1
4ced76cd-99df-4f66-b22e-873288099976,VISTA/26-27/06/00208,2026-06-29,2026-06,regular,pending,false,967.00,2901.00,1934.00,5,2
4dd09ca2-89ac-406d-99af-9cb2e8c59688,IMPORT/24-07/00275-0,2024-07-01,2024-07,regular,pending,false,-402.00,0,402.00,0,0
c49de441-1822-4e9b-9900-555371e04d13,null,2026-05-16,2026-05,regular,pending,false,370.00,738.00,368.00,3,1
5046d523-dd64-41d2-80e9-d8160c921874,null,2026-07-22,2026-07,regular,pending,false,4500.00,4823.00,323.00,3,1
fce0dd71-ff55-4d41-93b7-ab538e495206,null,2026-07-22,2026-07,regular,pending,false,4500.00,4823.00,323.00,3,1
015db18a-3e64-4f2e-a7df-67fef638fc26,IMPORT/24-08/00276-0,2024-08-01,2024-08,regular,pending,false,-260.00,0,260.00,0,0
b23afce3-d283-48e3-9e08-c80f9c182448,IMPORT/24-09/00278-0,2024-09-01,2024-09,regular,pending,false,-190.00,0,190.00,0,0
