table_schema,table_name,column_name,data_type,sensitivity,export_action,basis
market,competitor_intelligence,email,text,CONTACT_EMAIL,hash_email_normalised,column-name pattern match; values never inspected
public,tenants,photo_url,text,IDENTITY_DOCUMENT,exclude,column-name pattern match; values never inspected
public,tenants,upi_id,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,ticket_resolutions,bank_account_id,uuid,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,ticket_resolutions,proof_of_payment_url,text,IDENTITY_DOCUMENT,exclude,column-name pattern match; values never inspected
public,ticket_resolutions,proof_of_purchase_url,text,IDENTITY_DOCUMENT,exclude,column-name pattern match; values never inspected
public,upi_tenant_mappings,bank_transaction_ref,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,upi_tenant_mappings,normalized_transaction_ref,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,upi_tenant_mappings,normalized_upi_id,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,upi_tenant_mappings,upi_id,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,users,active_session_id,text,SECRET_OR_BIOMETRIC,exclude,column-name pattern match; values never inspected
public,users,email,text,CONTACT_EMAIL,hash_email_normalised,column-name pattern match; values never inspected
public,users,email_verified_at,timestamp with time zone,CONTACT_EMAIL,hash_email_normalised,column-name pattern match; values never inspected
public,users,first_name,text,PERSONAL_KEPT,keep_flagged,column-name pattern match; values never inspected
public,users,last_name,text,PERSONAL_KEPT,keep_flagged,column-name pattern match; values never inspected
public,users,must_set_password,boolean,SECRET_OR_BIOMETRIC,exclude,column-name pattern match; values never inspected
public,users,password_set_at,timestamp with time zone,SECRET_OR_BIOMETRIC,exclude,column-name pattern match; values never inspected
public,users,phone,text,CONTACT_PHONE,hash_phone_digits_only,column-name pattern match; values never inspected
public,users,phone_verified_at,timestamp with time zone,CONTACT_PHONE,hash_phone_digits_only,column-name pattern match; values never inspected
public,v_export_electricity_readings,meter_photo_url,text,IDENTITY_DOCUMENT,exclude,column-name pattern match; values never inspected
public,v_export_maintenance_tickets,tenant_phone,text,CONTACT_PHONE,hash_phone_digits_only,column-name pattern match; values never inspected
public,v_export_receipts,bank_account_id,uuid,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,v_export_receipts,bank_account_name,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,v_export_tenant_allotments,tenant_phone,text,CONTACT_PHONE,hash_phone_digits_only,column-name pattern match; values never inspected
public,v_export_tenants,date_of_birth,date,PERSONAL_KEPT,keep_flagged,column-name pattern match; values never inspected
public,v_export_tenants,email,text,CONTACT_EMAIL,hash_email_normalised,column-name pattern match; values never inspected
public,v_export_tenants,first_name,text,PERSONAL_KEPT,keep_flagged,column-name pattern match; values never inspected
public,v_export_tenants,full_name,text,PERSONAL_KEPT,keep_flagged,column-name pattern match; values never inspected
public,v_export_tenants,gst_number,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,v_export_tenants,last_name,text,PERSONAL_KEPT,keep_flagged,column-name pattern match; values never inspected
public,v_export_tenants,pan_number,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,v_export_tenants,phone,text,CONTACT_PHONE,hash_phone_digits_only,column-name pattern match; values never inspected
public,vendors,bank_account_number,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,vendors,bank_ifsc,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,vendors,email,text,CONTACT_EMAIL,hash_email_normalised,column-name pattern match; values never inspected
public,vendors,gst_number,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,vendors,id_proof_url,text,IDENTITY_DOCUMENT,exclude,column-name pattern match; values never inspected
public,vendors,pan_number,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,vendors,phone,text,CONTACT_PHONE,hash_phone_digits_only,column-name pattern match; values never inspected
public,whatsapp_conversations,phone_e164,text,CONTACT_PHONE,hash_phone_digits_only,column-name pattern match; values never inspected
public,whatsapp_events,from_phone,text,CONTACT_PHONE,hash_phone_digits_only,column-name pattern match; values never inspected
public,whatsapp_events,to_phone,text,CONTACT_PHONE,hash_phone_digits_only,column-name pattern match; values never inspected
public,whatsapp_payment_submissions,from_phone,text,CONTACT_PHONE,hash_phone_digits_only,column-name pattern match; values never inspected
public,whatsapp_payment_submissions,ocr_receiver_upi_id,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,whatsapp_payment_submissions,ocr_receiving_upi_id,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,whatsapp_payment_submissions,ocr_sender_upi_id,text,FINANCIAL_OR_GOVT_ID,hash,column-name pattern match; values never inspected
public,whatsapp_send_deliveries,phone_masked,text,CONTACT_PHONE,hash_phone_digits_only,column-name pattern match; values never inspected
