organization_id,maintenance_item_id,current_stock,minimum_stock_level,last_purchase_cost
00000000-0000-0000-0000-000000000001,7ea7fca2-f0bb-45da-9c16-464fbfa7ac57,0,1,200400
00000000-0000-0000-0000-000000000001,80dc7bfc-2b8f-459b-86fa-76ff57c6ba8c,0,1,300800
00000000-0000-0000-0000-000000000001,87285018-8e89-4cb8-b675-b49c23b99d4b,0,1,null
00000000-0000-0000-0000-000000000001,88cf5349-74f4-4ebb-9d19-0cfc011d3bd8,0,1,8001500
00000000-0000-0000-0000-000000000001,88dc5cc6-7338-402b-a444-4891ea25f01e,0,1,200400
00000000-0000-0000-0000-000000000001,8af73535-891b-4e36-b620-52dd2c7b5a7a,0,1,null
00000000-0000-0000-0000-000000000001,8b3fa7a5-61af-40c2-b9a1-2069aa88666e,0,1,null
00000000-0000-0000-0000-000000000001,8c561a17-4870-4382-b34e-832fcfe0ccaa,0,1,null
00000000-0000-0000-0000-000000000001,8c9734a5-3a28-4e1a-b4e0-485c64fc798a,0,0,null
00000000-0000-0000-0000-000000000001,8d0d7775-94d4-4b48-8b93-a782208fef0b,0,1,null
00000000-0000-0000-0000-000000000001,8d1cabc7-b8c0-4350-93e8-c33788ebd8ba,0,1,null
00000000-0000-0000-0000-000000000001,91eb3a3b-9bfc-469f-b183-fc78ef28e87c,0,1,null
00000000-0000-0000-0000-000000000001,92f49c21-3c53-472b-b9f0-6abba9fcb5f1,0,1,null
00000000-0000-0000-0000-000000000001,9a43cfdd-8fe4-4969-8859-527d770a1759,0,1,null
00000000-0000-0000-0000-000000000001,9cefb4ff-6f69-451c-b670-f8521d864cb4,0,1,null
00000000-0000-0000-0000-000000000001,9e0c4fea-c1b1-42d9-8e97-a124ad92b592,0,1,null
00000000-0000-0000-0000-000000000001,a01459dd-8d69-43af-8c1e-f345fffb1667,0,1,null
00000000-0000-0000-0000-000000000001,a146d1e5-3706-41db-8d42-f7a8fc54a83d,0,1,null
00000000-0000-0000-0000-000000000001,a4858f13-a7d8-4d04-a9f6-cfdbbaaa67c8,0,1,null
00000000-0000-0000-0000-000000000001,a8242726-9bd4-4709-857b-1296c3d3786a,0,1,null
00000000-0000-0000-0000-000000000001,a8c5150b-6e9f-4aba-9dd5-aa369a9e4222,0,0,1948
00000000-0000-0000-0000-000000000001,ad7c6eb2-7295-4a6b-a45b-018cb026d652,0,1,null
00000000-0000-0000-0000-000000000001,b33f8857-6705-44a8-9ec9-a9962b990bdf,0,1,null
00000000-0000-0000-0000-000000000001,b5837c15-2ad9-4852-9ffb-6b2223f5490b,0,1,null
00000000-0000-0000-0000-000000000001,b5cca981-ed03-4099-b6c8-d75db964898f,0,1,null
00000000-0000-0000-0000-000000000001,b63ff1e7-6423-4df9-b27b-9d8a605978da,0,1,null
