table_schema,table_name,column_name,data_type,min_value,max_value,avg_value,negative_rows,zero_rows,looks_monetary
public,maintenance_item_stock_entries,quantity_received,numeric,1,1,1.0000,0,0,false
public,maintenance_item_usage,cost_per_unit,numeric,28,10002500,980244.8205,0,0,true
public,maintenance_item_usage,quantity_used,numeric,1,1,1.0000,0,0,false
public,maintenance_item_usage,total_cost,numeric,28,10002500,980244.8205,0,0,true
public,maintenance_items,default_cost,numeric,0,6000,783.8710,0,8,true
public,maintenance_items,default_unit_cost,numeric,0,6000,780.1075,0,9,true
public,maintenance_items,minimum_stock_level,numeric,0,1,0.9140,0,8,false
public,maintenance_tickets,closure_cost,"numeric(14,2)",null,null,null,0,0,true
public,org_email_settings,imap_port,integer,993,993,993.0000,0,0,false
public,org_email_settings,pop3_port,integer,995,995,995.0000,0,0,false
public,org_email_settings,smtp_port,integer,465,465,465.0000,0,0,false
public,organizations,onboarding_step,integer,5,5,5.0000,0,0,false
public,organizations,ticket_auto_approve_threshold,numeric,1000,1000,1000.0000,0,0,false
public,organizations,ticket_repeat_check_days,integer,30,30,30.0000,0,0,false
public,owner_contracts,escalation_interval_months,integer,12,36,33.4286,0,0,false
public,owner_contracts,escalation_percentage,numeric,0,15,5.5172,0,1,false
public,owner_contracts,lock_in_months,integer,36,36,36.0000,0,0,false
public,owner_contracts,monthly_rent,numeric,0,71500,21442.8571,0,21,true
public,owner_contracts,payment_due_day,integer,5,9,6.2571,0,0,true
public,owner_contracts,property_tax_amount,numeric,0,0,0.0000,0,35,true
public,owner_contracts,renewal_periods,integer,0,36,11.3143,0,24,false
public,owner_contracts,revenue_share_percentage,numeric,null,null,null,0,0,false
public,owner_contracts,security_deposit,numeric,0,100000,25000.0000,0,3,true
public,owner_contracts,water_tax_amount,numeric,0,0,0.0000,0,35,true
public,owner_payments,base_amount,numeric,33000,71500,54550.7246,0,0,true
public,owner_payments,escalated_amount,numeric,33000,77175,55128.2609,0,0,true
public,payroll,absent_days,"numeric(5,2)",null,null,null,0,0,false
public,payroll,approved_leave_days,"numeric(5,2)",null,null,null,0,0,false
public,payroll,base_salary,"numeric(12,2)",null,null,null,0,0,true
public,payroll,bonus,"numeric(12,2)",null,null,null,0,0,false
public,payroll,days_worked,"numeric(5,2)",null,null,null,0,0,false
public,payroll,deductions,"numeric(12,2)",null,null,null,0,0,true
public,payroll,half_days,"numeric(5,2)",null,null,null,0,0,false
public,payroll,hours_worked,"numeric(7,2)",null,null,null,0,0,false
public,payroll,leave_days,"numeric(5,2)",null,null,null,0,0,false
public,payroll,net_salary,"numeric(12,2)",null,null,null,0,0,true
public,payroll,non_working_days,"numeric(5,2)",null,null,null,0,0,false
public,payroll,overtime_hours,"numeric(5,2)",null,null,null,0,0,false
public,payroll,overtime_pay,"numeric(12,2)",null,null,null,0,0,false
public,payroll,rejected_leave_days,"numeric(5,2)",null,null,null,0,0,false
public,payroll,total_days,"numeric(5,2)",null,null,null,0,0,true
public,payroll,working_days_month,"numeric(5,2)",null,null,null,0,0,false
public,payroll,year,integer,null,null,null,0,0,false
public,payroll_sync,absent_days,numeric,0,26,12.6667,0,3,false
public,payroll_sync,deducted_days,numeric,0,26,12.5556,0,3,false
public,payroll_sync,deduction_amount,numeric,0,41935.48,9586.0217,0,3,true
public,payroll_sync,leave_days,numeric,0,3,0.2778,0,16,false
public,payroll_sync,monthly_salary,numeric,10000,50000,21833.3333,0,0,true
public,payroll_sync,paid_leave_days,numeric,0,2,0.3889,0,14,true
public,payroll_sync,payable_salary,numeric,1612.9,35000,12247.3117,0,0,true
public,payroll_sync,per_day_salary,numeric,322.58,1612.9,704.3011,0,0,true
public,payroll_sync,present_days,numeric,0,26,13.0556,0,8,false
public,properties,gps_latitude,numeric,null,null,null,0,0,false
public,properties,gps_longitude,numeric,null,null,null,0,0,false
public,property_images,display_order,integer,0,1,0.5000,0,1,false
public,purchase_items,quantity,integer,null,null,null,0,0,false
public,purchase_items,unit_price,"numeric(10,2)",null,null,null,0,0,true
public,purchase_orders,total_cost,"numeric(10,2)",null,null,null,0,0,true
public,receipt_allocations,amount,"numeric(14,2)",null,null,null,0,0,true
public,receipt_number_counters,last_seq,integer,1,175,63.3750,0,0,false
public,receipt_number_counters,month,integer,4,8,6.5000,0,0,false
public,receipts,amount_paid,"numeric(10,2)",0.00,248313.00,14833.1103,0,2,true
public,receipts,base_amount,numeric,0,76903,607.1806,0,5636,true
public,receipts,processing_fee,numeric,0,911,0.4259,0,5854,true
public,receipts_dedup_audit,amount_paid,numeric,700.00,20000.00,8056.2222,0,0,true
public,receipts_dedup_audit,duplicate_count,integer,2,6,2.5556,0,0,false
public,replacement_forecasts,replacement_cost,"numeric(10,2)",null,null,null,0,0,true
public,room_switches,deposit_difference,numeric,-3000,15000,2955.8824,4,6,true
public,room_switches,eb_charges,numeric,0,9218,893.6471,0,11,true
public,room_switches,new_rent,numeric,13500,25500,16764.7059,0,0,true
public,room_switches,old_rent,numeric,13500,19500,14794.1176,0,0,true
public,room_switches,rent_difference,numeric,-2000,10000,1970.5882,4,6,true
public,running_bed_maintenance_details,actual_cost,numeric,28,5700,1385.6087,0,0,true
public,running_bed_maintenance_details,distributed_amount,numeric,28,5700,1385.6087,0,0,true
public,running_bed_maintenance_details,quantity,integer,1,1,1.0000,0,0,false
public,running_bed_maintenance_details,unit_price,numeric,0,5700,1354.0870,0,3,true
