table_schema,table_name,ordinal_position,column_name,data_type,total_rows,non_null_rows,distinct_values
public,coa_accounts,9,requires_party,boolean,57,57,2
public,coa_accounts,10,requires_allotment,boolean,57,57,2
public,coa_accounts,11,party_kind,party_kind,57,5,3
public,coa_accounts,12,description,text,57,0,0
public,coa_accounts,13,created_at,timestamp with time zone,57,57,3
public,companies,1,id,uuid,0,0,0
public,companies,2,name,text,0,0,0
public,companies,3,address,text,0,0,0
public,companies,4,gst_number,text,0,0,0
public,companies,5,late_threshold_minutes,integer,0,0,0
public,companies,6,overtime_threshold_hours,"numeric(5,2)",0,0,0
public,companies,7,weekly_off_day,integer,0,0,0
public,companies,8,bonus,"numeric(12,2)",0,0,0
public,companies,9,status,text,0,0,0
public,companies,10,shared_account_only_departments,text[],0,0,0
public,companies,11,created_at,timestamp with time zone,0,0,0
public,cost_estimate_approvers,1,id,uuid,1,1,1
public,cost_estimate_approvers,2,organization_id,uuid,1,1,1
public,cost_estimate_approvers,3,approver_user_id,uuid,1,1,1
public,cost_estimate_approvers,4,scope_type,text,1,1,1
public,cost_estimate_approvers,5,property_id,uuid,1,1,1
public,cost_estimate_approvers,6,issue_type_id,uuid,1,0,0
public,cost_estimate_approvers,7,created_at,timestamp with time zone,1,1,1
public,departments,1,id,uuid,0,0,0
public,departments,2,name,text,0,0,0
public,departments,3,company_id,uuid,0,0,0
public,departments,4,created_at,timestamp with time zone,0,0,0
public,deposit_settlements,1,id,uuid,307,307,307
public,deposit_settlements,2,organization_id,uuid,307,307,1
public,deposit_settlements,3,tenant_id,uuid,307,307,297
public,deposit_settlements,4,allotment_id,uuid,307,307,307
public,deposit_settlements,5,deposit_amount,numeric,307,307,52
public,deposit_settlements,6,pending_rent,numeric,307,307,179
public,deposit_settlements,7,pending_eb,numeric,307,307,58
public,deposit_settlements,8,pending_late_fees,numeric,307,307,1
public,deposit_settlements,9,damages,numeric,307,307,1
public,deposit_settlements,10,other_deductions,numeric,307,307,12
public,deposit_settlements,11,total_deductions,numeric,307,307,180
public,deposit_settlements,12,refund_amount,numeric,307,307,195
public,deposit_settlements,13,settlement_date,date,307,307,184
public,deposit_settlements,14,status,text,307,307,2
public,deposit_settlements,15,notes,text,307,82,80
public,deposit_settlements,16,created_at,timestamp with time zone,307,307,104
public,deposit_settlements,17,is_deleted,boolean,307,307,1
public,diagnostic_sessions,1,id,uuid,479,479,479
public,diagnostic_sessions,2,ticket_id,uuid,479,479,463
public,diagnostic_sessions,3,organization_id,uuid,479,479,1
public,diagnostic_sessions,4,performed_by,uuid,479,479,3
public,diagnostic_sessions,5,issue_type_id,uuid,479,479,14
public,diagnostic_sessions,6,questions_answers,jsonb,479,479,64
public,diagnostic_sessions,7,ai_diagnosis,jsonb,479,479,478
public,diagnostic_sessions,8,employee_override,jsonb,479,7,7
public,diagnostic_sessions,9,status,text,479,479,2
public,diagnostic_sessions,10,created_at,timestamp with time zone,479,479,479
public,diagnostic_sessions,11,completed_at,timestamp with time zone,479,479,479
public,eb_monitoring_readings,1,id,uuid,35,35,35
public,eb_monitoring_readings,2,organization_id,uuid,35,35,1
public,eb_monitoring_readings,3,property_id,uuid,35,35,1
public,eb_monitoring_readings,4,apartment_id,uuid,35,35,35
public,eb_monitoring_readings,5,reading_date,date,35,35,1
public,eb_monitoring_readings,6,start_reading,numeric,35,35,35
public,eb_monitoring_readings,7,start_month,text,35,35,1
public,eb_monitoring_readings,8,current_reading,numeric,35,35,35
public,eb_monitoring_readings,9,units_consumed,numeric,35,35,33
public,eb_monitoring_readings,10,eb_amount,numeric,35,35,33
public,eb_monitoring_readings,11,is_danger,boolean,35,35,2
public,eb_monitoring_readings,12,meter_photo_url,text,35,35,35
public,eb_monitoring_readings,13,created_at,timestamp with time zone,35,35,1
public,eb_payments,1,id,uuid,70,70,70
public,eb_payments,2,organization_id,uuid,70,70,1
public,eb_payments,3,property_id,uuid,70,70,1
public,eb_payments,4,bill_date,date,70,70,2
public,eb_payments,5,bill_amount,numeric,70,70,69
public,eb_payments,6,payment_date,date,70,70,2
public,eb_payments,7,payment_mode,text,70,70,2
public,eb_payments,8,reference_number,text,70,70,70
public,eb_payments,9,billing_period_start,date,70,70,2
public,eb_payments,10,billing_period_end,date,70,70,2
public,eb_payments,11,notes,text,70,0,0
public,eb_payments,12,is_locked,boolean,70,70,1
public,eb_payments,13,locked_by,uuid,70,0,0
public,eb_payments,14,created_at,timestamp with time zone,70,70,70
public,eb_payments,15,apartment_id,uuid,70,70,36
public,eb_payments,16,bank_account_id,uuid,70,70,1
