receipt_number,receipt_type,payment_date,amount_paid,base_amount,processing_fee,payment_mode,has_tenant,has_allotment,is_deleted
VISTA/26-27/08/R00129,payment,2026-08-07,15957.00,0,0,upi,true,true,false
VISTA/26-27/08/R00128,payment,2026-08-07,17701.00,0,0,upi,true,true,false
VISTA/26-27/08/R00127,payment,2026-08-07,16337.00,0,0,upi,true,true,false
VISTA/26-27/08/R00126,payment,2026-08-07,27453.00,0,0,upi,true,true,false
VISTA/26-27/08/R00125,payment,2026-08-07,16825.00,0,0,upi,true,true,false
VISTA/26-27/08/R00124,payment,2026-08-07,28228.00,0,0,upi,true,true,false
VISTA/26-27/08/R00123,payment,2026-08-07,17763.00,0,0,upi,true,true,false
VISTA/26-27/08/R00122,payment,2026-08-07,16525.00,0,0,upi,true,true,false
VISTA/26-27/08/R00121,payment,2026-08-07,17515.00,0,0,upi,true,true,false
VISTA/26-27/08/R00120,payment,2026-08-07,17290.00,0,0,upi,true,true,false
VISTA/26-27/08/R00119,payment,2026-08-07,15515.00,0,0,upi,true,true,false
VISTA/26-27/08/R00118,payment,2026-08-07,16918.00,0,0,upi,true,true,false
VISTA/26-27/08/R00117,payment,2026-08-07,15500.00,0,0,upi,true,true,false
VISTA/26-27/08/R00116,payment,2026-08-07,17515.00,0,0,upi,true,true,false
VISTA/26-27/08/R00115,payment,2026-08-07,17019.00,0,0,upi,true,true,false
VISTA/26-27/08/R00113,payment,2026-08-07,16918.00,0,0,upi,true,true,false
VISTA/26-27/08/R00111,payment,2026-08-07,16701.00,0,0,upi,true,true,false
VISTA/26-27/08/R00110,payment,2026-08-07,21050.00,0,0,upi,true,true,false
VISTA/26-27/08/R00109,payment,2026-08-07,16701.00,0,0,upi,true,true,false
VISTA/26-27/08/R00108,payment,2026-08-07,15892.00,0,0,upi,true,true,false
VISTA/26-27/08/R00107,payment,2026-08-07,16104.00,0,0,upi,true,true,false
VISTA/26-27/08/R00106,payment,2026-08-07,16154.00,0,0,upi,true,true,false
VISTA/26-27/08/R00105,payment,2026-08-07,19701.00,0,0,upi,true,true,false
VISTA/26-27/08/R00104,payment,2026-08-07,17008.00,0,0,upi,true,true,false
VISTA/26-27/08/R00103,payment,2026-08-07,16825.00,0,0,upi,true,true,false
VISTA/26-27/08/R00101,payment,2026-08-07,16337.00,0,0,upi,true,true,false
VISTA/26-27/08/R00100,payment,2026-08-07,17050.00,0,0,upi,true,true,false
VISTA/26-27/08/R00091,payment,2026-08-07,20492.00,0,0,upi,true,true,false
VISTA/26-27/08/R00092,payment,2026-08-07,16856.00,0,0,upi,true,true,false
VISTA/26-27/08/R00093,payment,2026-08-07,17360.00,0,0,upi,true,true,false
VISTA/26-27/08/R00184,payment,2026-08-06,15500.00,0,0,upi,true,true,false
VISTA/26-27/08/R00181,payment,2026-08-06,21360.00,0,0,upi,true,true,false
VISTA/26-27/08/R00180,payment,2026-08-06,17856.00,0,0,upi,true,true,false
VISTA/26-27/08/R00179,payment,2026-08-06,19034.00,0,0,upi,true,true,false
VISTA/26-27/08/R00178,payment,2026-08-06,17104.00,0,0,upi,true,true,false
VISTA/26-27/08/R00177,payment,2026-08-06,15895.00,0,0,upi,true,true,false
VISTA/26-27/08/R00176,payment,2026-08-06,17453.00,0,0,upi,true,true,false
VISTA/26-27/08/00058,payment,2026-08-06,17386.00,0,0,UPI,true,true,false
VISTA/26-27/08/00053,payment,2026-08-06,19034.00,0,0,UPI,true,true,false
VISTA/26-27/08/00051,payment,2026-08-06,22045.00,0,0,UPI,true,true,false
VISTA/26-27/08/R00156,payment,2026-08-06,17630.00,0,0,upi,true,true,false
VISTA/26-27/08/R00139,payment,2026-08-06,28042.00,0,0,upi,true,true,false
VISTA/26-27/08/R00134,payment,2026-08-06,15577.00,0,0,upi,true,true,false
VISTA/26-27/08/R00112,payment,2026-08-06,16957.00,0,0,upi,true,true,false
VISTA/26-27/08/R00081,payment,2026-08-06,15073.00,0,0,bank_transfer,true,true,false
VISTA/26-27/08/R00082,payment,2026-08-06,20798.00,0,0,upi,true,true,false
VISTA/26-27/08/R00083,payment,2026-08-06,17577.00,0,0,upi,true,true,false
VISTA/26-27/08/R00085,payment,2026-08-06,15918.00,0,0,upi,true,true,false
VISTA/26-27/08/R00087,payment,2026-08-06,17143.00,0,0,upi,true,true,false
VISTA/26-27/08/R00088,payment,2026-08-06,17298.00,0,0,upi,true,true,false
VISTA/26-27/08/R00089,payment,2026-08-06,16525.00,0,0,upi,true,true,false
VISTA/26-27/08/R00090,payment,2026-08-06,16856.00,0,0,upi,true,true,false
VISTA/26-27/08/R00094,payment,2026-08-06,16019.00,0,0,upi,true,true,false
VISTA/26-27/08/00068,onboarding,2026-08-06,33912.00,33912,0,upi,true,true,false
VISTA/26-27/08/R00175,payment,2026-08-05,15500.00,0,0,upi,true,true,false
VISTA/26-27/08/00057,payment,2026-08-05,15577.00,0,0,UPI,true,true,false
VISTA/26-27/08/00056,payment,2026-08-05,15914.00,0,0,UPI,true,true,false
VISTA/26-27/08/00055,payment,2026-08-05,16298.00,0,0,UPI,true,true,false
VISTA/26-27/08/00054,payment,2026-08-05,5866.00,0,0,UPI,true,true,false
VISTA/26-27/08/00052,payment,2026-08-05,27542.00,0,0,UPI,true,true,false
VISTA/26-27/08/00050,payment,2026-08-05,15492.00,0,0,UPI,true,true,false
VISTA/26-27/08/R00140,payment,2026-08-05,15515.00,0,0,upi,true,true,false
VISTA/26-27/08/R00136,payment,2026-08-05,18042.00,0,0,upi,true,true,false
VISTA/26-27/08/R00131,payment,2026-08-05,15019.00,0,0,upi,true,true,false
VISTA/26-27/08/00046,onboarding,2026-08-05,34379.00,34379,0,upi,true,true,false
VISTA/26-27/08/R00095,payment,2026-08-05,21918.00,0,0,upi,true,true,false
VISTA/26-27/08/00025,payment,2026-08-05,15926.00,0,0,UPI,true,true,false
VISTA/26-27/08/00026,payment,2026-08-05,26926.00,0,0,UPI,true,true,false
VISTA/26-27/08/00031,payment,2026-08-05,19500.00,0,0,UPI,true,true,false
VISTA/26-27/08/00039,payment,2026-08-05,18680.00,0,0,upi,true,true,false
VISTA/26-27/08/00040,payment,2026-08-05,18242.00,0,0,upi,true,true,false
VISTA/26-27/08/00041,payment,2026-08-05,2000.00,0,0,upi,true,true,false
VISTA/26-27/08/R00079,payment,2026-08-05,15577.00,0,0,upi,true,true,false
VISTA/26-27/08/R00080,payment,2026-08-05,17104.00,0,0,upi,true,true,false
VISTA/26-27/08/R00096,payment,2026-08-04,17360.00,0,0,upi,true,true,false
VISTA/26-27/08/00024,onboarding,2026-08-04,35831.00,35831,0,upi,true,true,false
VISTA/26-27/08/00027,payment,2026-08-04,16926.00,0,0,UPI,true,true,false
VISTA/26-27/08/00028,payment,2026-08-04,20457.00,0,0,UPI,true,true,false
VISTA/26-27/08/00029,payment,2026-08-04,16926.00,0,0,UPI,true,true,false
VISTA/26-27/08/00030,payment,2026-08-04,15918.00,0,0,UPI,true,true,false
VISTA/26-27/08/00033,payment,2026-08-04,27015.00,0,0,UPI,true,true,false
VISTA/26-27/08/00034,payment,2026-08-04,15500.00,0,0,UPI,true,true,false
VISTA/26-27/08/00035,payment,2026-08-04,22819.00,0,0,UPI,true,true,false
VISTA/26-27/08/00036,payment,2026-08-04,18680.00,0,0,UPI,true,true,false
VISTA/26-27/08/00037,payment,2026-08-04,15918.00,0,0,UPI,true,true,false
VISTA/26-27/08/00038,payment,2026-08-04,16825.00,0,0,UPI,true,true,false
VISTA/26-27/08/R00053,payment,2026-08-04,16606.00,0,0,upi,true,true,false
VISTA/26-27/08/R00061,payment,2026-08-04,15774.00,0,0,upi,true,true,false
VISTA/26-27/08/R00074,payment,2026-08-04,16577.00,0,0,upi,true,true,false
VISTA/26-27/08/R00075,payment,2026-08-04,21025.00,0,0,upi,true,true,false
VISTA/26-27/08/R00076,payment,2026-08-04,15577.00,0,0,upi,true,true,false
VISTA/26-27/08/R00078,payment,2026-08-04,21077.00,0,0,upi,true,true,false
VISTA/26-27/08/R00138,payment,2026-08-03,17918.00,0,0,upi,true,true,false
VISTA/26-27/08/R00132,payment,2026-08-03,17042.00,0,0,upi,true,true,false
VISTA/26-27/08/R00097,payment,2026-08-03,16337.00,0,0,bank_transfer,true,true,false
VISTA/26-27/08/00002,booking,2026-08-03,1000.00,1000,0,upi,true,true,false
VISTA/26-27/08/00003,booking,2026-08-03,1000.00,1000,0,upi,true,true,false
VISTA/26-27/08/00014,payment,2026-08-03,21639.00,0,0,UPI,true,true,false
VISTA/26-27/08/00019,payment,2026-08-03,15926.00,0,0,UPI,true,true,false
VISTA/26-27/08/00020,payment,2026-08-03,21019.00,0,0,UPI,true,true,false
VISTA/26-27/08/00021,payment,2026-08-03,20926.00,0,0,UPI,true,true,false
VISTA/26-27/08/00022,payment,2026-08-03,15957.00,0,0,UPI,true,true,false
VISTA/26-27/08/00023,payment,2026-08-03,15706.00,0,0,UPI,true,true,false
VISTA/26-27/08/R00072,payment,2026-08-03,16143.00,0,0,upi,true,true,false
VISTA/26-27/08/R00073,payment,2026-08-03,17918.00,0,0,upi,true,true,false
VISTA/26-27/08/R00077,payment,2026-08-03,17646.00,0,0,upi,true,true,false
VISTA/26-27/08/00049,payment,2026-08-02,21930.00,0,0,UPI,true,true,false
VISTA/26-27/08/R00084,payment,2026-08-02,15492.00,0,0,upi,true,true,false
VISTA/26-27/08/00004,onboarding,2026-08-02,23250.00,23250,0,upi,true,true,false
VISTA/26-27/08/R00006,payment,2026-08-02,15000.00,0,0,upi,true,true,false
VISTA/26-27/08/00076,onboarding,2026-08-02,21250.00,21250,0,upi,true,true,false
VISTA/26-27/08/00017,onboarding,2026-08-02,35782.00,35782,0,upi,true,true,false
VISTA/26-27/08/00018,onboarding,2026-08-02,27750.00,27750,0,upi,true,true,false
VISTA/26-27/08/R00060,payment,2026-08-02,15019.00,0,0,upi,true,true,false
VISTA/26-27/08/R00062,payment,2026-08-02,19519.00,0,0,upi,true,true,false
VISTA/26-27/08/R00063,payment,2026-08-02,16696.00,0,0,upi,true,true,false
VISTA/26-27/08/00044,payment,2026-08-02,17856.00,0,0,UPI,true,true,false
VISTA/26-27/08/R00065,payment,2026-08-02,17538.00,0,0,upi,true,true,false
VISTA/26-27/08/R00066,payment,2026-08-02,17763.00,0,0,upi,true,true,false
VISTA/26-27/08/R00068,payment,2026-08-02,16143.00,0,0,upi,true,true,false
VISTA/26-27/08/R00069,payment,2026-08-02,17298.00,0,0,upi,true,true,false
VISTA/26-27/08/R00070,payment,2026-08-02,16577.00,0,0,upi,true,true,false
VISTA/26-27/08/R00137,payment,2026-08-01,16124.00,0,0,upi,true,true,false
VISTA/26-27/08/R00086,payment,2026-08-01,16019.00,0,0,upi,true,true,false
VISTA/26-27/08/00001,onboarding,2026-08-01,29250.00,29250,0,upi,true,true,false
VISTA/26-27/08/R00002,payment,2026-08-01,19500.00,0,0,upi,true,true,false
VISTA/26-27/08/00005,payment,2026-08-01,21360.00,0,0,UPI,true,true,false
VISTA/26-27/08/00006,payment,2026-08-01,30860.00,0,0,UPI,true,true,false
VISTA/26-27/08/00077,booking,2026-08-01,1000.00,1000,0,upi,true,true,false
VISTA/26-27/08/00007,payment,2026-08-01,15515.00,0,0,UPI,true,true,false
VISTA/26-27/08/00008,payment,2026-08-01,20565.00,0,0,UPI,true,true,false
VISTA/26-27/08/00009,payment,2026-08-01,27050.00,0,0,UPI,true,true,false
VISTA/26-27/08/00010,payment,2026-08-01,32860.00,0,0,UPI,true,true,false
VISTA/26-27/08/00011,payment,2026-08-01,16042.00,0,0,UPI,true,true,false
VISTA/26-27/08/00012,payment,2026-08-01,3023.00,0,0,upi,true,true,false
VISTA/26-27/08/00016,payment,2026-08-01,16360.00,0,0,upi,true,true,false
VISTA/26-27/08/00013,payment,2026-08-01,17856.00,0,0,UPI,true,true,false
VISTA/26-27/08/00015,payment,2026-08-01,34418.00,0,0,UPI,true,true,false
VISTA/26-27/08/00032,payment,2026-08-01,16492.00,0,0,UPI,true,true,false
VISTA/26-27/08/R00054,payment,2026-08-01,15426.00,0,0,upi,true,true,false
VISTA/26-27/08/R00055,payment,2026-08-01,16856.00,0,0,upi,true,true,false
VISTA/26-27/08/00042,payment,2026-08-01,16577.00,0,0,UPI,true,true,false
VISTA/26-27/08/00043,payment,2026-08-01,15926.00,0,0,UPI,true,true,false
VISTA/26-27/08/R00058,payment,2026-08-01,16453.00,0,0,upi,true,true,false
VISTA/26-27/08/R00059,payment,2026-08-01,21484.00,0,0,upi,true,true,false
VISTA/26-27/08/00045,payment,2026-08-01,18228.00,0,0,UPI,true,true,false
VISTA/26-27/07/00118,booking,2026-07-31,1000.00,1000,0,upi,true,true,false
VISTA/26-27/07/00119,payment,2026-07-31,21143.00,0,0,UPI,true,true,false
VISTA/26-27/07/00120,payment,2026-07-31,18251.00,0,0,UPI,true,true,false
