schema_name,routine_name,arguments,return_type,kind,language,security_definer,source_length
market,normalize_amenity_semantic,"p_embedding vector, p_threshold numeric",text,function,sql,false,234
public,attendance_status_pay_units,p_status text,numeric,function,plpgsql,false,211
public,is_admin_user,_user_id uuid,boolean,function,sql,true,159
public,try_billing_lock,p_key text,boolean,function,plpgsql,false,148
public,remove_tracked_locality,"p_tracking_id uuid, p_organization_id uuid",void,function,plpgsql,true,128
public,update_tenant_full_name,,trigger,function,plpgsql,false,119
public,has_role,"_user_id uuid, _role app_role",boolean,function,sql,true,115
public,coa_id,"p_org uuid, p_code text",uuid,function,sql,false,114
public,has_any_role,"_user_id uuid, _roles app_role[]",boolean,function,sql,true,111
public,cleanup_expired_otps,,void,function,sql,true,80
public,get_user_org_id,_user_id uuid,uuid,function,sql,true,75
public,release_billing_lock,p_key text,void,function,plpgsql,false,74
public,update_updated_at_column,,trigger,function,plpgsql,false,57
public,touch_offline_kyc_pending_updated_at,,trigger,function,plpgsql,false,57
public,wps_set_updated_at,,trigger,function,plpgsql,false,57
public,set_updated_at,,trigger,function,plpgsql,false,52
market,set_updated_at,,trigger,function,plpgsql,false,52
public,update_updated_at,,trigger,function,plpgsql,false,50
public,strict_word_similarity_dist_commutator_op,"text, text",real,function,c,false,41
public,strict_word_similarity_commutator_op,"text, text",boolean,function,c,false,36
public,date_to_period,p_date date,text,function,sql,false,35
public,word_similarity_dist_commutator_op,"text, text",real,function,c,false,34
public,levenshtein_less_equal,"text, text, integer, integer, integer, integer",integer,function,c,false,33
public,sparsevec_negative_inner_product,"sparsevec, sparsevec",double precision,function,c,false,32
public,strict_word_similarity_dist_op,"text, text",real,function,c,false,30
public,halfvec_negative_inner_product,"halfvec, halfvec",double precision,function,c,false,30
public,vector_negative_inner_product,"vector, vector",double precision,function,c,false,29
public,word_similarity_commutator_op,"text, text",boolean,function,c,false,29
public,sparsevec_l2_squared_distance,"sparsevec, sparsevec",double precision,function,c,false,29
public,halfvec_l2_squared_distance,"halfvec, halfvec",double precision,function,c,false,27
public,halfvec_spherical_distance,"halfvec, halfvec",double precision,function,c,false,26
public,vector_l2_squared_distance,"vector, vector",double precision,function,c,false,26
public,cosine_distance,"sparsevec, sparsevec",double precision,function,c,false,25
public,strict_word_similarity_op,"text, text",boolean,function,c,false,25
public,vector_spherical_distance,"vector, vector",double precision,function,c,false,25
public,word_similarity_dist_op,"text, text",real,function,c,false,23
public,inner_product,"sparsevec, sparsevec",double precision,function,c,false,23
public,cosine_distance,"halfvec, halfvec",double precision,function,c,false,23
public,ivfflat_halfvec_support,internal,internal,function,c,false,23
public,binary_quantize,halfvec,bit,function,c,false,23
public,hnsw_sparsevec_support,internal,internal,function,c,false,22
public,gin_trgm_triconsistent,"internal, smallint, text, integer, internal, internal, internal","""char""",function,c,false,22
public,gin_extract_query_trgm,"text, internal, smallint, internal, internal, internal, internal",internal,function,c,false,22
public,gin_extract_value_trgm,"text, internal",internal,function,c,false,22
public,levenshtein,"text, text, integer, integer, integer",integer,function,c,false,22
public,levenshtein_less_equal,"text, text, integer",integer,function,c,false,22
public,l2_normalize,sparsevec,sparsevec,function,c,false,22
public,gbt_numeric_consistent,"internal, numeric, smallint, oid, internal",boolean,function,c,false,22
public,strict_word_similarity,"text, text",real,function,c,false,22
public,l2_distance,"sparsevec, sparsevec",double precision,function,c,false,21
public,gbt_numeric_picksplit,"internal, internal",internal,function,c,false,21
public,gbt_float8_consistent,"internal, double precision, smallint, oid, internal",boolean,function,c,false,21
public,gbt_timetz_consistent,"internal, time with time zone, smallint, oid, internal",boolean,function,c,false,21
public,inner_product,"halfvec, halfvec",double precision,function,c,false,21
public,l1_distance,"sparsevec, sparsevec",double precision,function,c,false,21
public,gbt_float4_consistent,"internal, real, smallint, oid, internal",boolean,function,c,false,21
public,gbt_bpchar_consistent,"internal, character, smallint, oid, internal",boolean,function,c,false,21
public,gbt_macad8_consistent,"internal, macaddr8, smallint, oid, internal",boolean,function,c,false,21
public,gbt_bytea_consistent,"internal, bytea, smallint, oid, internal",boolean,function,c,false,20
public,gbt_float4_picksplit,"internal, internal",internal,function,c,false,20
public,halfvec_to_sparsevec,"halfvec, integer, boolean",sparsevec,function,c,false,20
public,l2_normalize,halfvec,halfvec,function,c,false,20
public,hnsw_halfvec_support,internal,internal,function,c,false,20
public,sparsevec_to_halfvec,"sparsevec, integer, boolean",halfvec,function,c,false,20
public,gbt_macad8_picksplit,"internal, internal",internal,function,c,false,20
public,gbt_numeric_compress,internal,internal,function,c,false,20
public,gbt_macad_consistent,"internal, macaddr, smallint, oid, internal",boolean,function,c,false,20
public,gbt_float8_picksplit,"internal, internal",internal,function,c,false,20
public,gbt_macad_picksplit,"internal, internal",internal,function,c,false,19
public,vector_dims,halfvec,integer,function,c,false,19
public,ivfflat_bit_support,internal,internal,function,c,false,19
public,gbt_numeric_penalty,"internal, internal, internal",internal,function,c,false,19
public,l2_distance,"halfvec, halfvec",double precision,function,c,false,19
public,gbt_time_consistent,"internal, time without time zone, smallint, oid, internal",boolean,function,c,false,19
public,sparsevec_typmod_in,cstring[],integer,function,c,false,19
public,gbt_bytea_picksplit,"internal, internal",internal,function,c,false,19
public,gbt_timetz_compress,internal,internal,function,c,false,19
public,sparsevec_to_vector,"sparsevec, integer, boolean",vector,function,c,false,19
public,gbt_bpchar_compress,internal,internal,function,c,false,19
public,gbt_date_consistent,"internal, date, smallint, oid, internal",boolean,function,c,false,19
public,gbt_text_consistent,"internal, text, smallint, oid, internal",boolean,function,c,false,19
public,gbt_float4_distance,"internal, real, smallint, oid, internal",double precision,function,c,false,19
public,gbt_int4_consistent,"internal, integer, smallint, oid, internal",boolean,function,c,false,19
public,gbt_cash_consistent,"internal, money, smallint, oid, internal",boolean,function,c,false,19
public,gbt_intv_consistent,"internal, interval, smallint, oid, internal",boolean,function,c,false,19
public,gbt_intv_decompress,internal,internal,function,c,false,19
public,gbt_int8_consistent,"internal, bigint, smallint, oid, internal",boolean,function,c,false,19
public,gbt_enum_consistent,"internal, anyenum, smallint, oid, internal",boolean,function,c,false,19
public,gin_trgm_consistent,"internal, smallint, text, integer, internal, internal, internal, internal",boolean,function,c,false,19
public,gbt_macad8_compress,internal,internal,function,c,false,19
public,gbt_bool_consistent,"internal, boolean, smallint, oid, internal",boolean,function,c,false,19
public,gbt_int2_consistent,"internal, smallint, smallint, oid, internal",boolean,function,c,false,19
public,gbt_float8_distance,"internal, double precision, smallint, oid, internal",double precision,function,c,false,19
public,gbt_float8_compress,internal,internal,function,c,false,19
public,gbt_uuid_consistent,"internal, uuid, smallint, oid, internal",boolean,function,c,false,19
public,vector_to_sparsevec,"vector, integer, boolean",sparsevec,function,c,false,19
public,gbt_float4_compress,internal,internal,function,c,false,19
public,l1_distance,"halfvec, halfvec",double precision,function,c,false,19
public,gbt_inet_consistent,"internal, inet, smallint, oid, internal",boolean,function,c,false,19
public,gbt_tstz_consistent,"internal, timestamp with time zone, smallint, oid, internal",boolean,function,c,false,19
public,gbt_date_picksplit,"internal, internal",internal,function,c,false,18
