id,organization_id,team_member_id,month,working_days,present_days,base_salary,earned_salary,advance_deducted,other_deductions,net_payable,status,created_at
8e7c69bc-07b6-40c6-a52b-6b160e4dc736,00000000-0000-0000-0000-000000000001,274203e6-35e8-4868-8bd2-9908f516b497,2026-03,26,19,25000,18269.23,0,0,18269.23,draft,2026-05-22 13:16:36.176872+00
0d790924-30e5-40c1-bfa6-4cccbe9afa73,00000000-0000-0000-0000-000000000001,6f31fda3-2faa-430a-b07e-6990d93e6a44,2026-03,26,17,0,0.00,0,0,0.00,draft,2026-05-22 13:18:50.029131+00
024bafca-d519-42d1-a373-27c41edb315e,00000000-0000-0000-0000-000000000001,d37b144f-0bcd-4941-b1cf-e594fa52bb72,2026-04,26,22,13500,11423.08,0,0,11423.08,draft,2026-05-22 13:21:13.165722+00
bab8cdf0-202c-4a4d-80b7-6a28724b96d2,00000000-0000-0000-0000-000000000001,1da9e75d-51ab-4a53-9fc5-222ba2c12524,2026-04,26,25,35000,33653.85,0,0,33653.85,approved,2026-05-23 07:29:19.971304+00
16713c22-5044-40dc-bc51-14ec82e58cc8,00000000-0000-0000-0000-000000000001,1da9e75d-51ab-4a53-9fc5-222ba2c12524,2026-03,26,26,35000,35000.00,0,0,35000.00,draft,2026-05-23 07:29:20.222526+00
4f562cb7-743a-4e1f-98fb-bff7bee3ce2e,00000000-0000-0000-0000-000000000001,1da9e75d-51ab-4a53-9fc5-222ba2c12524,2026-02,26,7,35000,9423.08,0,0,9423.08,draft,2026-05-23 07:29:20.440545+00
fb2f5d71-b5e4-46c5-a7be-9e971c2e8d77,00000000-0000-0000-0000-000000000001,8a235718-7769-447f-ac47-d37aa798b932,2026-04,26,21,16000,12923.08,0,0,12923.08,draft,2026-05-23 10:12:16.143264+00
ba15412c-a96d-4fea-a3cf-a7e9d7e297a4,00000000-0000-0000-0000-000000000001,39523891-bab0-6a9f-129b-2f5b51ea3e37,2026-03,26,23,25000,22115.38,0,0,22115.38,draft,2026-05-23 11:40:02.913476+00
330fac41-cbb5-4957-ac9e-617d5d676a49,00000000-0000-0000-0000-000000000001,15b5f48a-0cb9-c73e-1c13-37fd5d8cb10b,2026-05,26,26,18000,18000.00,0,0,18000.00,draft,2026-05-29 07:16:24.258398+00
b7838cf2-0497-45b1-93ba-cd47afc941bf,00000000-0000-0000-0000-000000000001,39523891-bab0-6a9f-129b-2f5b51ea3e37,2026-05,26,26,25000,25000.00,0,0,25000.00,draft,2026-05-29 07:17:45.856242+00
64ec35a2-afb6-4b53-8edf-e5ffa3cef4da,00000000-0000-0000-0000-000000000001,509cadb2-fb85-403e-ab9a-43e9e7ec9555,2026-05,26,26,20000,20000.00,0,0,20000.00,draft,2026-05-29 07:18:06.505561+00
672580bb-b377-4782-ab70-d10637cbeb14,00000000-0000-0000-0000-000000000001,509cadb2-fb85-403e-ab9a-43e9e7ec9555,2026-04,26,22,20000,16923.08,0,0,16923.08,draft,2026-05-29 07:18:06.805436+00
81efe5ec-7994-448b-a882-5e9ed0a8f76a,00000000-0000-0000-0000-000000000001,8a235718-7769-447f-ac47-d37aa798b932,2026-05,26,26,16000,16000.00,0,0,16000.00,draft,2026-05-29 07:27:37.054462+00
a74c8526-0b0b-4802-a6d1-ecad1fe6ad2d,00000000-0000-0000-0000-000000000001,1da9e75d-51ab-4a53-9fc5-222ba2c12524,2026-05,26,26,35000,35000.00,0,0,35000.00,draft,2026-05-29 07:28:26.915447+00
6d08063c-68a1-49fd-aae9-13da4ee45c1f,00000000-0000-0000-0000-000000000001,fc505e28-6210-49c3-b873-e10e86ec7b92,2026-05,26,26,18000,18000.00,0,0,18000.00,draft,2026-06-12 05:33:18.275025+00
f5f13842-b244-4d48-b723-cf76d782f2eb,00000000-0000-0000-0000-000000000001,fc505e28-6210-49c3-b873-e10e86ec7b92,2026-04,26,25,18000,17307.69,0,0,17307.69,draft,2026-06-12 05:33:18.598006+00
c4f440aa-63d1-48c8-8e7f-d880b5b3146d,00000000-0000-0000-0000-000000000001,9c20c187-fe47-4647-a49b-6825e23b7920,2026-05,26,26,21000,21000.00,0,0,21000.00,draft,2026-06-20 05:02:03.826074+00
c6cb7ef8-04f2-47dd-995f-7864d559b24e,00000000-0000-0000-0000-000000000001,d37b144f-0bcd-4941-b1cf-e594fa52bb72,2026-05,26,26,13500,13500.00,0,0,13500.00,draft,2026-06-20 05:41:57.901814+00
a6c71a4c-6b26-4b65-81e0-16ba6722a06f,00000000-0000-0000-0000-000000000001,3b4c72de-80d1-4df4-8fbf-1147100d54dc,2026-05,26,26,16000,16000.00,0,0,16000.00,draft,2026-06-27 11:28:49.558308+00
b9e56718-4fe1-4d69-a75a-093e9694bbda,00000000-0000-0000-0000-000000000001,15b5f48a-0cb9-c73e-1c13-37fd5d8cb10b,2026-06,26,26,18000,18000.00,0,0,18000.00,draft,2026-06-29 06:22:01.099479+00
80747fc3-1aab-4543-84e8-fabac587441f,00000000-0000-0000-0000-000000000001,15b5f48a-0cb9-c73e-1c13-37fd5d8cb10b,2026-02,26,7,18000,4846.15,0,0,4846.15,draft,2026-06-29 06:22:03.146964+00
30660534-8b22-43fa-bba3-886e365d7368,00000000-0000-0000-0000-000000000001,fc505e28-6210-49c3-b873-e10e86ec7b92,2026-06,26,26,18000,18000.00,0,0,18000.00,draft,2026-06-29 06:23:43.132545+00
d609c5cb-feaa-4a03-b926-8f7efabca6e0,00000000-0000-0000-0000-000000000001,fc505e28-6210-49c3-b873-e10e86ec7b92,2026-03,26,15,18000,10384.62,0,0,10384.62,draft,2026-06-29 06:23:44.086329+00
e7d51fc1-5729-41df-82f9-c1581d469499,00000000-0000-0000-0000-000000000001,3b4c72de-80d1-4df4-8fbf-1147100d54dc,2026-06,26,26,16000,16000.00,0,0,16000.00,draft,2026-06-29 06:56:57.04599+00
92d1ac45-08a4-43a2-804d-5ade9fc94de0,00000000-0000-0000-0000-000000000001,3b4c72de-80d1-4df4-8fbf-1147100d54dc,2026-03,26,20,16000,12307.69,0,0,12307.69,draft,2026-06-29 06:56:58.340821+00
241fa3a4-31f5-4b49-b551-07b6b21429d3,00000000-0000-0000-0000-000000000001,509cadb2-fb85-403e-ab9a-43e9e7ec9555,2026-06,26,26,20000,20000.00,0,0,20000.00,draft,2026-06-29 06:57:45.697502+00
ad119597-b0f9-4342-9d53-e1582600187f,00000000-0000-0000-0000-000000000001,509cadb2-fb85-403e-ab9a-43e9e7ec9555,2026-03,26,18,20000,13846.15,0,0,13846.15,draft,2026-06-29 06:57:47.16841+00
0564caae-1174-4f6d-835e-733b3ffafa6b,00000000-0000-0000-0000-000000000001,2ce16d52-adfd-418f-9ac1-b6f042e0fd22,2026-06,26,24,15000,13846.15,0,0,13846.15,draft,2026-07-07 12:25:48.351232+00
da876265-2595-4046-804a-7cdb9a75ce53,00000000-0000-0000-0000-000000000001,1876cd3b-9ca7-41aa-ae62-761a15d87153,2026-06,26,26,15000,15000.00,0,0,15000.00,draft,2026-07-09 05:46:54.017006+00
c859c736-1124-40bf-8b77-bf49dc9f56d1,00000000-0000-0000-0000-000000000001,39523891-bab0-6a9f-129b-2f5b51ea3e37,2026-06,26,26,25000,25000.00,0,0,25000.00,draft,2026-07-09 05:49:05.353446+00
e3a40b55-a44c-452e-af48-4f32c830bb38,00000000-0000-0000-0000-000000000001,b21e8a0e-5076-9666-21ba-fb6b06140f1b,2026-02,26,8,18000,5538.46,0,0,5538.46,draft,2026-07-09 05:51:47.00916+00
dc1e52cf-e9dc-40b8-938b-70898f9f0917,00000000-0000-0000-0000-000000000001,8a235718-7769-447f-ac47-d37aa798b932,2026-06,26,26,16000,16000.00,0,0,16000.00,draft,2026-07-09 05:54:02.574036+00
