table_schema,table_name,ordinal_position,column_name,data_type,base_type_name,type_category,is_nullable,column_default,is_enum,is_array
market,locality_market_metrics,11,calculated_at,timestamp with time zone,timestamptz,D,false,now(),false,false
market,org_tracked_localities,1,id,uuid,uuid,U,false,gen_random_uuid(),false,false
market,org_tracked_localities,2,organization_id,uuid,uuid,U,false,null,false,false
market,org_tracked_localities,3,locality_id,uuid,uuid,U,false,null,false,false
market,org_tracked_localities,4,is_active,boolean,bool,B,false,true,false,false
market,org_tracked_localities,5,created_at,timestamp with time zone,timestamptz,D,false,now(),false,false
market,org_tracked_localities,6,city_wide_scan,boolean,bool,B,false,false,false,false
market,property_embeddings,1,competitor_id,uuid,uuid,U,false,null,false,false
market,property_embeddings,2,organization_id,uuid,uuid,U,false,null,false,false
market,property_embeddings,3,embedding,vector(768),vector,U,false,null,false,false
market,property_embeddings,4,content_hash,text,text,S,false,null,false,false
market,property_embeddings,5,updated_at,timestamp with time zone,timestamptz,D,false,now(),false,false
market,review_embeddings,1,review_id,uuid,uuid,U,false,null,false,false
market,review_embeddings,2,organization_id,uuid,uuid,U,false,null,false,false
market,review_embeddings,3,embedding,vector(768),vector,U,false,null,false,false
market,review_embeddings,4,updated_at,timestamp with time zone,timestamptz,D,false,now(),false,false
market,scrape_sources,1,id,uuid,uuid,U,false,gen_random_uuid(),false,false
market,scrape_sources,2,key,text,text,S,false,null,false,false
market,scrape_sources,3,name,text,text,S,false,null,false,false
market,scrape_sources,4,base_url,text,text,S,false,null,false,false
market,scrape_sources,5,is_active,boolean,bool,B,false,true,false,false
market,scrape_sources,6,config,jsonb,jsonb,U,false,'{}'::jsonb,false,false
market,scrape_sources,7,created_at,timestamp with time zone,timestamptz,D,false,now(),false,false
public,accounting_migration_log,1,id,uuid,uuid,U,false,gen_random_uuid(),false,false
public,accounting_migration_log,2,phase,text,text,S,false,null,false,false
public,accounting_migration_log,3,severity,text,text,S,false,'INFO'::text,false,false
public,accounting_migration_log,4,message,text,text,S,false,null,false,false
public,accounting_migration_log,5,payload,jsonb,jsonb,U,true,'{}'::jsonb,false,false
public,accounting_migration_log,6,sql_state,text,text,S,true,null,false,false
public,accounting_migration_log,7,created_at,timestamp with time zone,timestamptz,D,false,now(),false,false
public,accounting_periods,1,organization_id,uuid,uuid,U,false,null,false,false
public,accounting_periods,2,period,text,text,S,false,null,false,false
public,accounting_periods,3,status,text,text,S,false,'open'::text,false,false
public,accounting_periods,4,closed_at,timestamp with time zone,timestamptz,D,true,null,false,false
public,accounting_periods,5,closed_by,uuid,uuid,U,true,null,false,false
public,accounting_periods,6,notes,text,text,S,true,null,false,false
public,ai_actions,1,id,uuid,uuid,U,false,gen_random_uuid(),false,false
public,ai_actions,2,user_id,uuid,uuid,U,false,null,false,false
public,ai_actions,3,organization_id,uuid,uuid,U,false,null,false,false
public,ai_actions,4,session_id,uuid,uuid,U,true,null,false,false
public,ai_actions,5,action,text,text,S,false,null,false,false
public,ai_actions,6,payload,jsonb,jsonb,U,false,'{}'::jsonb,false,false
public,ai_actions,7,result,jsonb,jsonb,U,true,null,false,false
public,ai_actions,8,status,text,text,S,false,null,false,false
public,ai_actions,9,error_message,text,text,S,true,null,false,false
public,ai_actions,10,created_at,timestamp with time zone,timestamptz,D,false,now(),false,false
public,ai_logs,1,id,uuid,uuid,U,false,gen_random_uuid(),false,false
public,ai_logs,2,request_type,text,text,S,false,null,false,false
public,ai_logs,3,model,text,text,S,true,null,false,false
public,ai_logs,4,latency_ms,integer,int4,N,true,null,false,false
public,ai_logs,5,success,boolean,bool,B,false,false,false,false
public,ai_logs,6,error_message,text,text,S,true,null,false,false
public,ai_logs,7,metadata,jsonb,jsonb,U,false,'{}'::jsonb,false,false
public,ai_logs,8,prompt_excerpt,text,text,S,true,null,false,false
public,ai_logs,9,response_excerpt,text,text,S,true,null,false,false
public,ai_logs,10,redaction_level,text,text,S,false,'none'::text,false,false
public,ai_logs,11,created_at,timestamp with time zone,timestamptz,D,false,now(),false,false
public,ai_sessions,1,id,uuid,uuid,U,false,gen_random_uuid(),false,false
public,ai_sessions,2,user_id,uuid,uuid,U,false,null,false,false
public,ai_sessions,3,organization_id,uuid,uuid,U,false,null,false,false
public,ai_sessions,4,status,text,text,S,false,'active'::text,false,false
public,ai_sessions,5,pending_action,text,text,S,true,null,false,false
public,ai_sessions,6,collected_data,jsonb,jsonb,U,false,'{}'::jsonb,false,false
public,ai_sessions,7,missing_fields,jsonb,jsonb,U,false,'[]'::jsonb,false,false
public,ai_sessions,8,last_plan,jsonb,jsonb,U,true,null,false,false
