table_schema,table_name,index_name,is_unique,is_partial,definition
public,asset_types,asset_types_pkey,true,false,CREATE UNIQUE INDEX asset_types_pkey ON public.asset_types USING btree (id)
public,assets,assets_asset_code_org_key,true,false,"CREATE UNIQUE INDEX assets_asset_code_org_key ON public.assets USING btree (organization_id, asset_code)"
public,assets,assets_pkey,true,false,CREATE UNIQUE INDEX assets_pkey ON public.assets USING btree (id)
public,assets,idx_assets_org,false,false,CREATE INDEX idx_assets_org ON public.assets USING btree (organization_id)
public,assets,idx_assets_type,false,false,CREATE INDEX idx_assets_type ON public.assets USING btree (asset_type_id)
public,attendance_logs,attendance_logs_pkey,true,false,CREATE UNIQUE INDEX attendance_logs_pkey ON public.attendance_logs USING btree (id)
public,attendance_logs,idx_attendance_company_date,false,false,"CREATE INDEX idx_attendance_company_date ON public.attendance_logs USING btree (company_id, date)"
public,attendance_logs,idx_attendance_date,false,false,CREATE INDEX idx_attendance_date ON public.attendance_logs USING btree (date)
public,attendance_logs,idx_attendance_employee_date,false,false,"CREATE INDEX idx_attendance_employee_date ON public.attendance_logs USING btree (employee_id, date)"
public,attendance_sync,attendance_sync_pkey,true,false,CREATE UNIQUE INDEX attendance_sync_pkey ON public.attendance_sync USING btree (id)
public,attendance_sync,attendance_sync_record_id_key,true,false,CREATE UNIQUE INDEX attendance_sync_record_id_key ON public.attendance_sync USING btree (record_id)
public,audit_logs,audit_logs_pkey,true,false,CREATE UNIQUE INDEX audit_logs_pkey ON public.audit_logs USING btree (id)
public,audit_logs,idx_audit_logs_org,false,false,"CREATE INDEX idx_audit_logs_org ON public.audit_logs USING btree (organization_id, performed_at DESC)"
public,audit_logs,idx_audit_logs_performed_at,false,false,CREATE INDEX idx_audit_logs_performed_at ON public.audit_logs USING btree (performed_at)
public,audit_logs,idx_audit_logs_table,false,false,"CREATE INDEX idx_audit_logs_table ON public.audit_logs USING btree (table_name, record_id)"
public,audit_logs,idx_audit_logs_table_name,false,false,CREATE INDEX idx_audit_logs_table_name ON public.audit_logs USING btree (table_name)
public,bed_rates,bed_rates_pkey,true,false,CREATE UNIQUE INDEX bed_rates_pkey ON public.bed_rates USING btree (id)
public,bed_rates,no_overlapping_bed_rates,false,false,"CREATE INDEX no_overlapping_bed_rates ON public.bed_rates USING gist (organization_id, bed_type, toilet_type, COALESCE(property_id, '00000000-0000-0000-0000-000000000000'::uuid), daterange(from_date, COALESCE(to_date, '9999-12-31'::date), '[]'::text))"
public,bed_status_history,bed_status_history_pkey,true,false,CREATE UNIQUE INDEX bed_status_history_pkey ON public.bed_status_history USING btree (id)
public,bed_type_config,bed_type_config_name_organization_id_key,true,false,"CREATE UNIQUE INDEX bed_type_config_name_organization_id_key ON public.bed_type_config USING btree (name, organization_id)"
public,bed_type_config,bed_type_config_pkey,true,false,CREATE UNIQUE INDEX bed_type_config_pkey ON public.bed_type_config USING btree (id)
public,beds,beds_apartment_idx,false,false,CREATE INDEX beds_apartment_idx ON public.beds USING btree (apartment_id)
public,beds,beds_pkey,true,false,CREATE UNIQUE INDEX beds_pkey ON public.beds USING btree (id)
public,beds,idx_beds_apartment,false,false,CREATE INDEX idx_beds_apartment ON public.beds USING btree (apartment_id)
public,beds,idx_beds_org_status,false,false,"CREATE INDEX idx_beds_org_status ON public.beds USING btree (organization_id, status)"
public,bot_conversations,bot_conversations_pkey,true,false,CREATE UNIQUE INDEX bot_conversations_pkey ON public.bot_conversations USING btree (phone)
public,bot_conversations,idx_bot_conversations_updated,false,false,CREATE INDEX idx_bot_conversations_updated ON public.bot_conversations USING btree (updated_at DESC)
public,coa_accounts,coa_accounts_organization_id_code_key,true,false,"CREATE UNIQUE INDEX coa_accounts_organization_id_code_key ON public.coa_accounts USING btree (organization_id, code)"
public,coa_accounts,coa_accounts_pkey,true,false,CREATE UNIQUE INDEX coa_accounts_pkey ON public.coa_accounts USING btree (id)
public,coa_accounts,idx_coa_org_type,false,false,"CREATE INDEX idx_coa_org_type ON public.coa_accounts USING btree (organization_id, account_type)"
public,coa_accounts,idx_coa_parent,false,false,CREATE INDEX idx_coa_parent ON public.coa_accounts USING btree (parent_id)
public,companies,companies_pkey,true,false,CREATE UNIQUE INDEX companies_pkey ON public.companies USING btree (id)
public,companies,idx_companies_status,false,false,CREATE INDEX idx_companies_status ON public.companies USING btree (status)
public,cost_estimate_approvers,cost_estimate_approvers_pkey,true,false,CREATE UNIQUE INDEX cost_estimate_approvers_pkey ON public.cost_estimate_approvers USING btree (id)
public,departments,departments_pkey,true,false,CREATE UNIQUE INDEX departments_pkey ON public.departments USING btree (id)
public,departments,idx_departments_company,false,false,CREATE INDEX idx_departments_company ON public.departments USING btree (company_id)
public,deposit_settlements,deposit_settlements_pkey,true,false,CREATE UNIQUE INDEX deposit_settlements_pkey ON public.deposit_settlements USING btree (id)
public,deposit_settlements,idx_deposit_settlements_status,false,false,CREATE INDEX idx_deposit_settlements_status ON public.deposit_settlements USING btree (status)
public,deposit_settlements,idx_deposit_settlements_tenant_id,false,false,CREATE INDEX idx_deposit_settlements_tenant_id ON public.deposit_settlements USING btree (tenant_id)
