table_schema,table_name,column_name,data_type,total_rows,non_null_rows,min_value,max_value,distinct_days,distinct_months,rows_before_2019,rows_after_today
public,maintenance_item_stock_entries,created_at,timestamp with time zone,47,47,2026-04-22 17:55:31.904743+00,2026-08-20 07:05:51.690895+00,17,5,0,0
public,maintenance_item_stock_entries,purchased_on,timestamp with time zone,47,47,2026-04-21 00:00:00+00,2026-08-20 07:05:51.262+00,17,5,0,0
public,maintenance_item_usage,created_at,timestamp with time zone,39,39,2026-04-24 13:07:59.03849+00,2026-08-20 07:05:51.839725+00,13,5,0,0
public,maintenance_items,created_at,timestamp with time zone,93,93,2026-04-22 17:22:54.139564+00,2026-07-17 07:39:41.819937+00,8,4,0,0
public,maintenance_items,updated_at,timestamp with time zone,93,93,2026-04-22 19:26:39.870161+00,2026-07-17 07:39:41.819937+00,8,4,0,0
public,maintenance_tickets,closed_at,timestamp with time zone,1610,1416,2025-01-29 18:54:00+00,2026-08-29 03:49:01.079+00,362,20,0,1
public,maintenance_tickets,created_at,timestamp with time zone,1610,1610,2025-01-29 13:20:00+00,2026-08-29 07:06:45.762796+00,457,20,0,3
public,maintenance_tickets,resolution_edit_unlocked_at,timestamp with time zone,1610,5,2026-06-21 02:49:00.174+00,2026-07-16 06:54:44.564+00,3,2,0,0
public,maintenance_tickets,resolved_at,timestamp with time zone,1610,1560,2025-01-29 13:20:00+00,2026-08-27 10:50:41.274+00,404,20,0,0
public,maintenance_tickets,sla_deadline,timestamp with time zone,1610,1610,2025-02-01 21:00:00+00,2026-09-01 05:36:44.379+00,492,20,0,11
public,maintenance_tickets,updated_at,timestamp with time zone,1610,1610,2026-03-31 14:41:05.467561+00,2026-08-29 07:06:45.762796+00,144,6,0,3
public,migration_log,run_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,offline_kyc_pending,created_at,timestamp with time zone,38,38,2026-06-25 10:19:13.345837+00,2026-08-28 10:35:26.522095+00,22,3,0,0
public,offline_kyc_pending,expires_at,timestamp with time zone,38,23,2026-07-09 07:19:49.548+00,2026-08-29 10:35:26.462+00,16,2,0,1
public,offline_kyc_pending,merged_at,timestamp with time zone,38,0,null,null,0,0,0,0
public,offline_kyc_pending,submitted_at,timestamp with time zone,38,38,2026-06-25 10:24:19.785+00,2026-08-28 15:38:23.151+00,22,3,0,0
public,offline_kyc_pending,updated_at,timestamp with time zone,38,38,2026-06-26 06:20:46.910355+00,2026-08-28 15:38:23.363935+00,21,3,0,0
public,org_ai_settings,created_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,org_ai_settings,updated_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,org_branding_settings,created_at,timestamp with time zone,1,1,2026-04-21 08:33:39.386535+00,2026-04-21 08:33:39.386535+00,1,1,0,0
public,org_branding_settings,updated_at,timestamp with time zone,1,1,2026-05-29 12:15:22.209831+00,2026-05-29 12:15:22.209831+00,1,1,0,0
public,org_email_settings,created_at,timestamp with time zone,1,1,2026-04-20 14:59:58.397659+00,2026-04-20 14:59:58.397659+00,1,1,0,0
public,org_email_settings,updated_at,timestamp with time zone,1,1,2026-06-10 12:18:18.161894+00,2026-06-10 12:18:18.161894+00,1,1,0,0
public,org_whatsapp_settings,created_at,timestamp with time zone,1,1,2026-05-12 12:19:11.228122+00,2026-05-12 12:19:11.228122+00,1,1,0,0
public,org_whatsapp_settings,updated_at,timestamp with time zone,1,1,2026-08-08 12:28:48.909494+00,2026-08-08 12:28:48.909494+00,1,1,0,0
